,BitStamp,Kraken,Itbit,HitBTC,BitFinex
2016-08-19,572.91,572.9,574.26,573.77,574.35
2016-08-20,577.88,582.15,581.3,581.87,581.74
2016-08-21,577.55,581.53,580.64,581.22,581.14
2016-08-22,582.78,584.99,585.12,585.11,588.24
2016-08-23,580.23,583.38,581.78,584.28,583.9
2016-08-24,577.58,582.11,578.9,580.49,581.18
2016-08-25,575.71,576.94,576.17,573.89,577.83
2016-08-26,578.78,579.36,578.27,579.89,578.02
2016-08-27,568.31,570.22,569.33,569.38,568.52
2016-08-28,573.2,576.04,573.5,575.28,573.83
2016-08-29,571.5,575.49,572.76,573.75,574.25
2016-08-30,575.91,578.96,576.34,575.01,579.25
2016-08-31,570.75,574.22,572.92,572.41,574.47
2016-09-01,571.05,572,572.24,573.59,572.57
2016-09-02,572,577.1,573.42,569.79,575.48
2016-09-03,595.01,601,595.58,592.77,607.06
2016-09-04,603.72,609.74,606.64,608.52,613.76
2016-09-05,603.48,609.87,606.27,604.99,614.12
2016-09-06,608.16,612,612.59,606.51,613.98
2016-09-07,615.16,617.34,615.63,612,619.35
2016-09-08,625.67,631.12,624.23,624.06,630.1
2016-09-09,622.01,626.1,622.33,619.52,625.51
2016-09-10,621.65,624.89,622.45,624.45,628.92
2016-09-11,606.32,608.26,606.42,604.01,609.78
2016-09-12,608.04,611.11,607.15,609.83,611.1
2016-09-13,607.46,615.29,607.57,610.88,613.98
2016-09-14,608.5,613.97,609.51,610.52,613.89
2016-09-15,606.71,609.96,606.15,607.52,612.5
2016-09-16,605.69,607.98,606.8,608.57,610.18
2016-09-17,604.1,606.8,605.77,604.87,608.26
2016-09-18,608,611.99,608.73,607.38,613.82
2016-09-19,608.72,609.2,608.8,606.85,609.48
2016-09-20,600.94,603.8,602.63,605.41,609.25
2016-09-21,595.46,599.65,595.87,596.01,599
2016-09-22,595.41,595.05,594.8,597.51,596.44
2016-09-23,601.42,604.17,601.65,599.81,603.99
2016-09-24,599.33,604,601.51,602.81,603.66
2016-09-25,598.98,600,600.08,599.56,600.31
2016-09-26,606.47,608.98,607.28,608.19,609.09
2016-09-27,604.26,606.51,604.61,606.11,603.98
2016-09-28,603.95,605,604.3,607.58,604.47
2016-09-29,605.6,607.37,605.68,606.06,605.74
2016-09-30,608.23,612.5,609.28,610.98,611.09
2016-10-01,612.98,614.39,614.34,610.98,614.09
2016-10-02,608.6,611.84,611.07,605.99,609.93
2016-10-03,611.16,613.6,613.25,607.54,612.76
2016-10-04,607.19,612,610.19,607.52,610.79
2016-10-05,608.49,614.96,612.14,610.99,614.46
2016-10-06,610.25,615,612,606.09,614.04
2016-10-07,614.88,618.53,617.95,614.77,620.27
2016-10-08,614.34,620.79,618.25,611.11,620.69
2016-10-09,613.06,616.51,615.55,611.14,615.42
2016-10-10,616,618.76,617.75,616.47,618.82
2016-10-11,639,643.36,640.36,635.42,641.55
2016-10-12,634.5,635.28,637.01,631.07,638.33
2016-10-13,634.02,634.24,635.58,631.56,637.76
2016-10-14,638.2,640.61,639.7,635.37,641.41
2016-10-15,635.96,640.75,639.47,635.37,638.94
2016-10-16,638.97,643.28,640.93,635.37,644.12
2016-10-17,636.91,640.98,636.75,637.11,639.07
2016-10-18,635.95,636.97,636.1,634.99,638.99
2016-10-19,627.98,631.5,629.5,628.1,631.55
2016-10-20,628.89,630.05,630.8,625.44,632.73
2016-10-21,629,634.43,631.58,629.12,635.25
2016-10-22,654.52,661.22,649.99,650.39,663.44
2016-10-23,648.74,657.68,646.44,648.24,658.91
2016-10-24,648.6,652.63,647.79,649.19,654.99
2016-10-25,651.97,655.89,653.54,649.01,667.42
2016-10-26,675.11,677.32,672.99,672.06,674.92
2016-10-27,684.71,686.79,685.54,685.77,685.79
2016-10-28,685.91,690,689.67,685.97,690.6
2016-10-29,711.13,713.99,715.65,713.63,719.81
2016-10-30,697.23,700.92,695,697.87,702.3
2016-10-31,697.01,698.92,697.96,697.78,701.98
2016-11-01,726.6,733.74,730.09,726.55,733
2016-11-02,742,747.07,743,734.33,737.49
2016-11-03,685.22,692.18,688.84,685.26,680.19
2016-11-04,702.7,706.04,703.99,698.41,708.81
2016-11-05,703.46,706.48,706.08,707.73,708.11
2016-11-06,709.93,715.5,713.97,710.17,715.06
2016-11-08,709.31,712.5,710.47,709.55,704.47
2016-11-09,721.5,722.4,721.85,721.66,711.99
2016-11-10,714.47,714,713.92,714.64,723.42
2016-11-11,716.39,717.75,716,712.38,714.87
2016-11-12,702.28,704,704.37,701.28,716.61
2016-11-13,700.38,701.67,704.37,698.01,703.57
2016-11-14,703.82,706.99,706.84,700.18,703.61
2016-11-15,711.06,711.31,712.39,711.78,707.43
2016-11-16,739.71,741.6,743.4,735.25,712
2016-11-17,735.24,739.1,735.34,737.25,743.47
2016-11-18,748.98,752.23,750.12,749.14,740.67
2016-11-19,750.75,751.99,751.18,750.88,753.97
2016-11-20,727.09,729.68,729.06,749.89,752.9
2016-11-21,736.76,738,738,733.77,729.67
2016-11-22,749.22,749.76,747.87,744.77,738.99
2016-11-23,740.18,741.98,742.63,740.33,749.85
2016-11-24,735.63,738.44,738.5,731.75,741.99
2016-11-25,737.07,742.14,740.33,734.37,737.61
2016-11-26,729.91,733.17,734.85,727.01,740.36
2016-11-27,727.32,729.93,728.93,725.01,731.19
2016-11-28,729.54,734.17,733.12,725.94,724.99
2016-11-29,730.76,732,732.05,731.51,731.52
2016-11-30,742.06,742.4,742,742.21,731.05
2016-12-01,751.54,752.49,753.84,746.6,739
2016-12-02,769.99,773.5,771.28,765.93,755.36
2016-12-03,760.75,764.75,765.44,763.1,774.65
2016-12-04,762,769,767,762.15,767.37
2016-12-05,750.24,752.08,751.03,745.79,768.5
2016-12-06,758.98,758.38,759.46,755.92,750.85
2016-12-07,763.99,765.01,764.55,759.37,757.27
2016-12-08,766.84,768.29,766.68,763.33,765.01
2016-12-09,769.57,771.67,770.06,769.66,765.01
2016-12-10,772.28,775,771.91,770.96,770.5
2016-12-11,768.97,771.68,767.19,768.34,772.9
2016-12-12,776.9,778.07,777.06,778.08,770.21
2016-12-13,775.35,778.72,775,777.23,777.99
2016-12-14,777.09,777.56,775.92,777.06,775
2016-12-15,775.89,778.11,775.05,775.75,774.49
2016-12-16,781.32,785.41,781.2,781.31,777.43
2016-12-17,788.52,792.97,788.83,787.62,784.17
2016-12-18,788.67,794.21,787.92,788.36,790.99
2016-12-19,791,792.54,789.22,790.64,790.18
2016-12-20,798.65,801.25,798.09,801.01,790.59
2016-12-21,832.75,830,830.66,834.32,799.35
2016-12-22,859.96,860,859,860.27,829.33
2016-12-23,914,918.19,914.34,915.48,859
2016-12-24,892.61,895.47,892.44,895.12,918.99
2016-12-25,890.67,896.8,898.02,888.95,895.24
2016-12-26,897.1,901.5,906.16,895,898.42
2016-12-27,930.34,933,932,928.01,908.78
2016-12-28,976.47,978,979.23,960.02,936.43
2016-12-29,969.58,974.32,971.99,945,981.7
2016-12-30,959.54,960.77,963.36,937.31,972
2016-12-31,966.3,967.45,968.62,949.59,959.16
2017-01-01,997.75,996.12,997.57,995,966.61
2017-01-02,1012.54,1017.79,1019.24,1008.25,999.24
2017-01-03,1035.24,1038.25,1031.67,1021.72,1019.5
2017-01-04,1114.92,1133.22,1135.17,1118.11,1038
2017-01-05,1004.74,1005.99,1002.86,999.99,1139.6
2017-01-06,893.89,895.72,895.51,935,1003.4
2017-01-07,906.2,908,901.99,899.09,898.5
2017-01-08,909.75,916.94,915.64,901.89,908.1
2017-01-09,896.23,905.01,899.64,889.62,915.9
2017-01-10,905.05,909.52,905.6,899.78,903.01
2017-01-11,778.62,789.88,779.39,812.35,905.75
2017-01-12,807.47,807.79,806.89,816.11,779.56
2017-01-13,825.86,832.9,829,821.35,804.99
2017-01-14,818.27,818.65,821.97,830.46,827.22
2017-01-15,821.86,827.14,824.95,812.23,815.85
2017-01-16,831.81,832.81,834.15,855.75,820.74
2017-01-17,905.99,906.39,905.82,928.92,830.1
2017-01-18,887.7,892.31,888,870.5,903.99
2017-01-19,901.01,900.11,901.26,897.3,888.14
2017-01-20,895.8,898.62,894.27,905.14,901.56
2017-01-21,921.98,925.3,923.64,920.6,896.14
2017-01-22,923.76,925.01,920.18,913.23,924.02
2017-01-23,913.52,917.97,913.69,920.55,923.72
2017-01-24,885.47,887.99,886.16,891.32,905.99
2017-01-25,893.43,896.89,893.8,894.08,886.45
2017-01-26,914.83,914.93,915,909.12,893.35
2017-01-27,918.02,922.3,919.58,916.55,915.37
2017-01-28,918.6,918.36,920.02,912.83,916.7
2017-01-29,912.01,915.7,915.19,913.53,919.43
2017-01-30,919.99,920.58,921.26,919,912.55
2017-01-31,963.99,969.74,970.43,958.69,917.36
2017-02-01,983.67,988.79,987.52,977.96,966.2
2017-02-02,1009.17,1010,1006.97,1005.29,983.52
2017-02-03,1016.99,1015.21,1017.7,1005.7,1007
2017-02-04,1033.18,1029.39,1032.05,1022.15,1016.9
2017-02-05,1011.07,1017.89,1012.67,1011.87,1031.1
2017-02-06,1023.99,1027.01,1024.27,1034.31,1006.6
2017-02-07,1052.48,1051,1052.19,1047.63,1022.6
2017-02-08,1050.4,1055.84,1053.9,1044.82,1052.1
2017-02-09,986,988.38,990.83,983.66,1048.9
2017-02-10,996.08,1002.73,997.76,994.71,984.99
2017-02-11,1012.4,1011,1011.27,1014.72,992.99
2017-02-12,1000.73,1001.02,1001.92,997.84,1000
2017-02-13,1000.79,996.39,1000.36,993.71,996
2017-02-14,1008.88,1016.47,1012.42,1006.5,996.52
2017-02-15,1011.53,1015.75,1012.91,1004.47,1013.3
2017-02-16,1032.7,1039.87,1034.42,1035.03,1014
2017-02-17,1055.46,1052.07,1057.09,1056.68,1038.5
2017-02-18,1056.4,1058.91,1061.07,1051.47,1056.9
2017-02-19,1051.8,1055.61,1054.26,1045.85,1059.8
2017-02-20,1084,1088.68,1087,1075.04,1056.2
2017-02-21,1124.62,1128.46,1125.66,1120,1090.9
2017-02-22,1130.01,1125.67,1126.7,1134.54,1129.6
2017-02-23,1188.11,1182,1178.22,1189.99,1126.6
2017-02-24,1180.14,1185,1184.47,1176.67,1190.7
2017-02-25,1152.2,1146.83,1152.2,1150.42,1185.2
2017-02-26,1179.05,1167,1181.34,1184.07,1153
2017-02-27,1194.64,1190.21,1195.17,1181.14,1178.7
2017-02-28,1191.21,1180,1191.19,1196.22,1195.9
2017-03-01,1226.39,1225,1226.16,1224.99,1189.1
2017-03-02,1257.6,1254,1257.3,1259.32,1234.8
2017-03-03,1285.33,1277,1291.39,1279.9,1257.4
2017-03-04,1260,1261.27,1269.41,1256.22,1289.7
2017-03-05,1273,1267.98,1283,1258.23,1267
2017-03-06,1278.49,1275,1282,1267.87,1278.4
2017-03-07,1233.05,1224.92,1231.56,1239.71,1279.2
2017-03-08,1150.05,1143.39,1151.14,1142.83,1232.3
2017-03-09,1190.89,1187.19,1192.87,1190,1150
2017-03-10,1116.97,1111,1115.21,1122.99,1190.3
2017-03-11,1176.55,1174.97,1182.5,1164.68,1113.4
2017-03-12,1226.62,1224.37,1231.06,1229.86,1172.1
2017-03-13,1242.46,1230,1246.16,1230.23,1224.4
2017-03-20,1035.96,1030,1040.21,1035.8,1042.8
2017-03-21,1114.39,1110.37,1113.21,1113.59,1116.4
2017-03-22,1037.56,1032.01,1037.09,1024.2,1029.4
2017-03-23,1029.65,1024.03,1029,1028.79,1025.6
2017-03-24,929.06,921.3,934.51,921.97,937.59
2017-03-25,956.02,951.08,963.01,959.75,960.07
2017-03-26,960,961.88,933.94,964.41,956.4
2017-03-27,1039.92,1039.85,1040.13,1016,1035.8
2017-03-28,1043.99,1043.28,1044.48,978,1042.5
2017-03-29,1035.96,1043.43,1039.61,858.02,1037.5
2017-03-30,1033.7,1040,1038.3,750,1032.9
2017-03-31,1070.31,1079.78,1079.22,977.84,1081
2017-04-01,1083.94,1091.73,1089.49,969.99,1084.1
2017-04-02,1078.01,1107.46,1102.25,997,1109.4
2017-04-03,1144.77,1148.43,1147.05,1099.83,1155
2017-04-04,1143,1142,1142.51,1101.01,1135.9
2017-04-05,1134.58,1138.16,1134.05,1087.56,1126.6
2017-04-06,1190.85,1191.56,1190.76,1169.54,1198.9
2017-04-07,1190.66,1191.88,1192.14,1175,1191.2
2017-04-08,1184.03,1182.47,1183.63,1174.99,1185
2017-04-09,1206.2,1211,1208.15,1180,1218
2017-04-10,1209.25,1211.23,1213.37,1174,1218.4
2017-04-11,1218.99,1223.5,1224.5,1198.99,1238.4
2017-04-12,1212.17,1219.15,1215.83,1228,1225.8
2017-04-13,1172.91,1174.13,1178.28,1228.88,1189
2017-04-14,1170.34,1187.99,1176,1174.04,1207.8
2017-04-15,1173.45,1175.01,1178.8,1184.01,1197.9
2017-04-16,1162.31,1181,1179,1199.99,1215.1
2017-04-17,1176.54,1197.5,1194.98,1225,1238.4
2017-04-18,1202.58,1202.38,1201.27,1249.98,1267.2
2017-04-19,1203.98,1204.2,1209.4,1262.66,1268
2017-04-20,1234.19,1241.88,1233.65,1215.32,1301.9
2017-04-21,1243.61,1249,1246,1295,1322.3
2017-04-22,1233.2,1235.49,1239.63,1319,1343
2017-04-23,1241.99,1242.48,1244.98,1315.11,1345.3
2017-04-24,1253.58,1251.02,1253.94,1316.11,1344.6
2017-04-25,1269,1276.07,1277.77,1349,1370
2017-04-26,1287.99,1290.52,1292.54,1396.78,1404
2017-04-27,1331.53,1333.7,1337.96,1440,1445.6
2017-04-28,1330.7,1328.64,1343.8,1401.97,1398.9
2017-04-29,1333,1335.93,1349.97,1423.77,1424.2
2017-04-30,1350.21,1350.72,1362.4,1439.2,1441.7
2017-05-01,1390.86,1397.23,1418.51,1518.55,1527.6
2017-05-02,1447.75,1455.2,1460.07,1539.65,1549.7
2017-05-03,1503.22,1513.6,1513.71,1608.24,1613
2017-05-04,1537.23,1535.42,1550.14,1604.77,1586.3
2017-05-05,1514.9,1518.03,1551.9,1540,1571.7
2017-05-06,1558.02,1535.42,1578.47,1596.21,1593.7
2017-05-07,1554.01,1505.16,1589.57,1617.51,1623.6
2017-05-08,1649.54,1670.06,1644.8,1707.62,1699
2017-05-09,1720.28,1721.75,1718.21,1766.36,1769
2017-05-10,1772.58,1782,1785.09,1792.25,1780
2017-05-11,1828.45,1836.06,1831.46,1858.49,1858.2
2017-05-12,1691.51,1698.19,1695.79,1732.6,1770
2017-05-13,1776.89,1783.57,1782.13,1827.11,1814
2017-05-14,1784,1788.04,1794,1829,1815.7
2017-05-15,1705.48,1739.75,1733.42,1761.45,1781.8
2017-05-16,1700.01,1786.85,1777,1787.38,1781.7
2017-05-17,1782.99,1836.06,1802.93,1863.51,1874.9
2017-05-18,1878.99,1900,1886.7,1924.63,1946.1
2017-05-19,1958,1961.79,1964.22,1833.89,1970
2017-05-20,2013.99,2039.11,2000,1999.99,2068
2017-05-21,2017.55,2011.11,1999.64,1980.07,2037.9
2017-05-22,2099.97,2085.99,2104.92,2080.85,1981.9
2017-05-23,2264.23,2231.97,2257.09,2226.26,2228
2017-05-24,2420.29,2408.24,2398.9,2397.29,2379.6
2017-05-25,2292.53,2259.2,2334.66,2213.26,2377
2017-05-26,2279.82,2203.71,2263.65,2285.29,2113.2
2017-05-27,2042,2008,2086.56,1917.45,1949.9
2017-05-28,2178.81,2137.21,2227.56,2081.89,2033
2017-05-29,2292.1,2245.27,2305,2190.99,2193.4
2017-05-30,2203.51,2159.1,2203.58,2128.83,2106
2017-05-31,2298.01,2291.3,2305.16,2199.1,2195.6
2017-06-01,2413.63,2399,2414.11,2312.32,2287.8
2017-06-02,2488.94,2487.18,2474.16,2399.11,2390
2017-06-03,2540.94,2549.72,2546.44,2467.98,2477.2
2017-06-04,2530.27,2520.55,2534.13,2472.11,2476.2
2017-06-05,2698,2690,2690,2619.23,2618.91044
2017-06-06,2880.74,2867,2869.49,2839.19,2828.7
2017-06-07,2683.03,2690,2702.95,2655.59,2674.8
2017-06-08,2806,2811.63,2810.87,2778.06,2775.6
2017-06-09,2822.32,2816.47,2806.1,2798.17,2808.6
2017-06-10,2899.99,2816.27,2900,2815.68,2814.3
2017-06-11,2954.22,2924.88,2957.03,2917.72,2936.6
2017-06-12,2667.06,2609.44,2949.38,2572.61,2543.8
2017-06-13,2703.02,2710,2710,2673.94,2681
2017-06-14,2450,2452.69,2452.69,2391.06,2374.2
2017-06-15,2424.91,2428.71,2428.71,2367.55,2385.2
2017-06-16,2484.68,2470.3,2470.3,2437.7,2423.7
2017-06-17,2630,2642.24,2642.24,2618.07,2630
2017-06-18,2516.98,2497.76,2497.76,2495.6,2479.1
2017-06-19,2598,2584.86,2584.86,2601,2568
2017-06-20,2740,2705.1,2705.1,2670.95,2747.3
2017-06-21,2657.04,2644.97,2644.97,2616.64,2601.1
2017-06-22,2713.48,2684.99,2684.99,2669.1,2675
2017-06-23,2685.05,2668,2668,2681.7,2692.1
2017-06-24,2557.66,2547.43,2547.43,2498.96,2485.2
2017-06-25,2502.03,2490.13,2490.13,2469.33,2462.2
2017-06-26,2421.22,2405,2405,2398.21,2397.5
2017-06-27,2565,2538.01,2538.01,2513,2495.6
2017-06-28,2559.9,2554.02,2554.02,2517.8,2511.7
2017-06-29,2541.59,2526.07,2526.07,2479.41,2490.3
2017-06-30,2465.49,2445,2445,2418.2,2426
2017-07-01,2412.41,2392.95,2392.95,2343.6,2330
2017-07-02,2504.37,2505.57,2505.57,2438.96,2437.2
2017-07-03,2550.47,2546.73,2546.73,2531.17,2550.5
2017-07-04,2596.12,2599.07,2599.07,2591.14,2560.9
2017-07-05,2602.9,2611.39,2611.39,2598.22,2601.2
2017-07-06,2600.39,2605.64,2605.64,2590.85,2597.5
2017-07-07,2501.46,2506.93,2506.93,2479.19,2453.8
2017-07-08,2550.07,2547.85,2547.85,2545.92,2541.4
2017-07-09,2502.28,2499,2499,2472.54,2496.9
2017-07-10,2323.45,2339.23,2339.23,2322.15,2311.4
2017-07-11,2305.98,2302.2,2302.2,2298.18,2315.6
2017-07-12,2388,2373.85,2385.9,2379.82,2364.1
2017-07-13,2339.99,2336.4,2340.49,2328.38,2335.7
2017-07-14,2213.37,2216.18,2219.21,2206.72,2203
2017-07-15,1970.51,1972.07,1965,1976.27,2034.9
2017-07-16,1917.63,1907.24,1899.81,1929.28,1950
2017-07-17,2226,2217,2233.46,2216.41,2194.9
2017-07-18,2303.71,2310.8,2295.92,2300.81,2295.2
2017-07-19,2265.21,2255,2260.45,2249.05,2253.3
2017-07-20,2875.03,2854.88,2845,2844.05,2844.9
2017-07-21,2670,2670,2670,2658.37,2698
2017-07-22,2832.71,2831.13,2814.99,2839.42,2836
2017-07-23,2749.02,2761.2,2757.62,2742,2727.8
2017-07-24,2759.98,2755.9,2760.65,2775.97,2772.5
2017-07-25,2564.82,2556,2559.78,2560.85,2542.1
2017-07-26,2524.99,2525,2525.1,2520.17,2511
2017-07-27,2666.33,2675.39,2663.17,2662.04,2679.5
2017-07-28,2777.01,2800,2782.58,2786.58,2787.5
2017-07-29,2680.56,2716,2702.9,2719.04,2699
2017-07-30,2742.37,2799,2728.29,2742.34,2730
2017-07-31,2855.81,2876.13,2840,2857.04,2848
2017-08-01,2731,2727.03,2739.09,2722.1,2706
2017-08-02,2703.51,2700.8,2703.66,2692,2689.2
2017-08-03,2793.37,2797.03,2788.88,2784.15,2804.9
2017-08-04,2855,2875.97,2858.03,2868.9,2854
2017-08-05,3263.62,3256.31,3260.74,3249.27,3234.7
2017-08-06,3222.75,3235.03,3229.26,3228,3250.2
2017-08-07,3387.55,3395,3384.87,3398.85,3388
2017-08-08,3412.41,3430.52,3420.54,3411.94,3450.7
2017-08-09,3342.99,3371.88,3342.15,3338.66,3292.3
2017-08-10,3413.03,3433.99,3417.89,3406.45,3425.6
2017-08-11,3645.06,3670,3639.58,3640.04,3663.2
2017-08-12,3855.1,3884.63,3870.05,3864.95,3834.6
2017-08-13,4053.87,4084,4053.9,4061.42,4109
2017-08-14,4306.23,4355.66,4321.51,4310.01,4247.9
2017-08-15,4155.67,4172.2,4156.91,4157.39,4182.1
2017-08-16,4378.84,4388,4384.11,4376.99,4324.7
2017-08-17,4276.5,4291,4275.7,4257.11,4315.2
2017-08-18,4100,4141,4106.93,4089.18,4101.5
2017-08-19,4099.55,4179.73,4148.19,4150.03,4154.5
2017-08-20,4058.68,4078.24,4061.3,4051.78,4139.9
2017-08-21,3987.52,4005.7,3990.9,3992.05,4007.7
2017-08-22,4085,4104.9,4021.9,4071.5,4038
2017-08-23,4108.12,4151,4148.16,4134.36,4143.2
2017-08-24,4300.34,4334.68,4312.44,4320.17,4331.2
2017-08-25,4355.98,4390.99,4356.32,4352.18,4363.8
2017-08-26,4333.38,4351.75,4340.94,4335.62,4337.6
2017-08-27,4337.68,4338.46,4315.74,4329.95,4338
2017-08-28,4379.99,4387.83,4385,4380.23,4369.9
2017-08-29,4578.82,4590.17,4589.06,4592.2,4602.7
2017-08-30,4573.2,4579.75,4577.26,4569.29,4571.5
2017-08-31,4734.26,4737.27,4732.24,4713.45,4725.7
2017-09-01,4921.7,4919.9,4927.29,4893.76,4863.8
2017-09-02,4599.9,4630.4,4606.29,4525.28,4435.8
2017-09-03,4606.26,4645,4609.31,4588.74,4563
2017-09-04,4277,4344.11,4260,4185.2,4250.1
2017-09-05,4396.52,4464.03,4429.58,4370.52,4448
2017-09-06,4605.8,4641.6,4609.61,4582.64,4614.4
2017-09-07,4615,4660,4620.28,4613.19,4622
2017-09-08,4312,4385,4335.1,4303.45,4314.7
2017-09-09,4308.72,4342.3,4309.83,4326.91,4338.5
2017-09-10,4226.22,4287.1,4239.76,4223.82,4262.7
2017-09-11,4207.31,4226.2,4201.99,4197.28,4208.5
2017-09-12,4172.56,4173.6,4160.94,4158.62,4169.5
2017-09-13,3865.34,3882.2,3854.98,3862.54,3935.1
2017-09-14,3227.79,3254.2,3239.1,3232.98,3296.6
2017-09-15,3700.01,3739.6,3715.02,3691.48,3741.4
2017-09-16,3678.93,3716.4,3688.97,3675.75,3710.6
2017-09-17,3662.99,3719,3694.48,3669.9,3701
2017-09-18,4101.6,4091.5,4097.47,4082.96,4049
2017-09-19,3888.8,3911,3899.19,3901.04,3917.7
2017-09-20,3874.46,3863.1,3868.89,3869.61,3949
2017-09-21,3617.05,3623.9,3616.28,3595.26,3620.1
2017-09-22,3612.18,3606.8,3611.06,3598.47,3604.1
2017-09-23,3779.17,3789,3786.1,3783.75,3751.8
2017-09-24,3664.22,3672.7,3666.9,3660.86,3681
2017-09-25,3918,3924,3917.89,3930.77,3924.5
2017-09-26,3888.03,3885.9,3879.13,3879.06,3886
2017-09-27,4199.29,4213.8,4195.99,4203,4196.1
2017-09-28,4184.84,4190,4189.25,4188.23,4180.1
2017-09-29,4164.82,4157.1,4158.21,4163.28,4162.6
2017-09-30,4326.09,4344,4328.05,4371.55,4364.5
2017-10-01,4377.22,4383.7,4386.66,4403.36,4407
2017-10-02,4391.48,4401.7,4388.18,4396.83,4374.1
2017-10-03,4315.83,4309,4310.81,4310.11,4310
2017-10-04,4219.53,4223.6,4216.12,4217.13,4222.1
2017-10-05,4301.09,4324.2,4312,4314.64,4359.7
2017-10-06,4362.95,4363.1,4364.22,4367.38,4352
2017-10-07,4423.3,4432,4425.01,4434.06,4465.9
2017-10-08,4597.98,4592,4589.94,4615.58,4627.1
2017-10-09,4764.7,4772.1,4744.46,4781.95,4752.2
2017-10-10,4749.29,4748.5,4749.19,4770.63,4790.9
2017-10-11,4822.01,4822.6,4815,4819.44,4815
2017-10-12,5445,5429.7,5438.31,5442.08,5312.6
2017-10-13,5653.6,5640,5646.37,5633.54,5644.1
2017-10-14,5801.29,5800,5788.14,5836.75,5749.9
2017-10-15,5679.7,5680,5705,5711.51,5718.2
2017-10-16,5745.72,5738.8,5745.64,5757.72,5715
2017-10-17,5597.31,5606.5,5597,5601.27,5555
2017-10-18,5582.05,5579.4,5572.36,5569.79,5582.9
2017-10-19,5698.69,5695.3,5721.64,5695.38,5709.3
2017-10-20,5991,5977.8,5976.39,5989.16,6004.9
